 ****** HSPICE -- Q-2020.03-SP2-2 linux64 (Nov  1 2020) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
1
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
v_final,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.06278414,-0.3651492,-0.4461288,-0.2843011
0.06278939,-0.3624711,-0.4434204,-0.281652
0.06279059,-0.3597956,-0.4407149,-0.2790053
0.06279144,-0.3571226,-0.4380122,-0.2763609
0.06279224,-0.3544522,-0.4353124,-0.2737188
0.06279782,-0.3517843,-0.4326153,-0.2710789
0.06280159,-0.349119,-0.4299209,-0.2684413
0.06280767,-0.3464561,-0.4272294,-0.2658059
0.06280768,-0.3437956,-0.4245405,-0.2631727
0.0628091,-0.3411376,-0.4218543,-0.2605417
0.06281168,-0.338482,-0.4191708,-0.2579129
0.062812,-0.3358288,-0.4164899,-0.2552862
0.06281272,-0.3331779,-0.4138116,-0.2526616
0.06281332,-0.3305294,-0.4111359,-0.2500392
0.06283718,-0.3278832,-0.4084628,-0.2474187
0.06283752,-0.3252393,-0.4057922,-0.2448004
0.06283893,-0.3225976,-0.4031241,-0.2421841
0.06284038,-0.3199582,-0.4004586,-0.2395697
0.06284453,-0.3173211,-0.3977955,-0.2369574
0.06284499,-0.3146861,-0.3951348,-0.234347
0.06284812,-0.3120533,-0.3924766,-0.2317386
0.06285,-0.3094227,-0.3898208,-0.2291321
0.06285041,-0.3067942,-0.3871674,-0.2265275
0.06285305,-0.3041679,-0.3845163,-0.2239248
0.0628592,-0.3015436,-0.3818675,-0.221324
0.0628598,-0.2989214,-0.3792211,-0.2187249
0.0628604,-0.2963013,-0.376577,-0.2161277
0.06286279,-0.2936832,-0.3739351,-0.2135324
0.06287154,-0.2910671,-0.3712955,-0.2109388
0.06288439,-0.288453,-0.3686581,-0.2083469
0.06288672,-0.2858409,-0.3660229,-0.2057568
0.06289885,-0.2832307,-0.3633899,-0.2031684
0.06290029,-0.2806224,-0.360759,-0.2005818
0.06290513,-0.2780161,-0.3581303,-0.1979968
0.06290694,-0.2754116,-0.3555037,-0.1954135
0.06290784,-0.2728091,-0.3528792,-0.1928318
0.06291102,-0.2702083,-0.3502568,-0.1902517
0.062915,-0.2676094,-0.3476364,-0.1876732
0.06292652,-0.2650123,-0.345018,-0.1850963
0.0629268,-0.262417,-0.3424017,-0.182521
0.06292696,-0.2598234,-0.3397873,-0.1799473
0.06293582,-0.2572316,-0.337175,-0.177375
0.06295463,-0.2546415,-0.3345646,-0.1748043
0.06295619,-0.2520531,-0.3319561,-0.172235
0.06295787,-0.2494664,-0.3293495,-0.1696673
0.06295983,-0.2468814,-0.3267448,-0.167101
0.0629694,-0.244298,-0.324142,-0.1645361
0.06297144,-0.2417163,-0.321541,-0.1619726
0.06297229,-0.2391362,-0.3189418,-0.1594105
0.06298155,-0.2365576,-0.3163445,-0.1568498
0.06298357,-0.2339807,-0.3137489,-0.1542905
0.06299319,-0.2314052,-0.3111552,-0.1517325
0.06299405,-0.2288313,-0.3085631,-0.1491758
0.06299717,-0.226259,-0.3059728,-0.1466204
0.06299968,-0.2236881,-0.3033842,-0.1440663
0.06300897,-0.2211187,-0.3007973,-0.1415135
0.06301536,-0.2185508,-0.2982121,-0.1389619
0.06301601,-0.2159843,-0.2956285,-0.1364116
0.06301666,-0.2134192,-0.2930466,-0.1338625
0.06301869,-0.2108555,-0.2904662,-0.1313145
0.06301916,-0.2082933,-0.2878875,-0.1287678
0.06302005,-0.2057323,-0.2853103,-0.1262222
0.06302346,-0.2031728,-0.2827347,-0.1236777
0.06302627,-0.2006145,-0.2801607,-0.1211344
0.06302645,-0.1980576,-0.2775881,-0.1185922
0.06302751,-0.195502,-0.2750171,-0.1160511
0.06303867,-0.1929476,-0.2724475,-0.113511
0.06305669,-0.1903945,-0.2698794,-0.110972
0.06306149,-0.1878427,-0.2673128,-0.1084341
0.06306398,-0.185292,-0.2647476,-0.1058971
0.06306441,-0.1827426,-0.2621837,-0.1033612
0.06306518,-0.1801943,-0.2596213,-0.1008262
0.06306581,-0.1776473,-0.2570603,-0.09829223
0.06306601,-0.1751013,-0.2545006,-0.0957592
0.06307346,-0.1725566,-0.2519422,-0.0932271
0.06307649,-0.1700129,-0.2493852,-0.09069592
0.06308195,-0.1674703,-0.2468295,-0.08816564
0.06308233,-0.1649288,-0.244275,-0.08563624
0.06308754,-0.1623884,-0.2417218,-0.08310772
0.06309314,-0.159849,-0.2391699,-0.08058003
0.06310411,-0.1573107,-0.2366192,-0.07805319
0.06310917,-0.1547734,-0.2340697,-0.07552716
0.06310924,-0.152237,-0.2315214,-0.07300193
0.06312337,-0.1497017,-0.2289742,-0.07047748
0.06312353,-0.1471673,-0.2264283,-0.06795381
0.06312851,-0.1446338,-0.2238835,-0.06543088
0.06313815,-0.1421013,-0.2213398,-0.06290868
0.06313919,-0.1395697,-0.2187972,-0.0603872
0.06314061,-0.137039,-0.2162557,-0.05786642
0.06315196,-0.1345091,-0.2137152,-0.05534632
0.06315649,-0.1319801,-0.2111759,-0.05282688
0.06316184,-0.129452,-0.2086375,-0.05030811
0.06316515,-0.1269247,-0.2061002,-0.04778996
0.06316918,-0.1243982,-0.2035639,-0.04527244
0.06316936,-0.1218725,-0.2010286,-0.04275551
0.06317776,-0.1193476,-0.1984943,-0.04023916
0.06318305,-0.1168234,-0.1959609,-0.03772339
0.0631885,-0.1143,-0.1934284,-0.03520817
0.06318981,-0.1117773,-0.1908969,-0.03269349
0.06319414,-0.1092553,-0.1883662,-0.03017932
0.06320467,-0.106734,-0.1858365,-0.02766567
0.06320866,-0.1042134,-0.1833076,-0.0251525
0.06321813,-0.1016935,-0.1807796,-0.0226398
0.0632355,-0.09917415,-0.1782524,-0.02012756
0.06323751,-0.09665548,-0.1757261,-0.01761577
0.0632567,-0.09413741,-0.1732005,-0.01510439
0.06327055,-0.09161995,-0.1706757,-0.01259342
